file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;name
ALATOS;HUMANOID;HUMAN;THIEF;THIEF_MALE_HUMAN;Alatos;alatos;19;MALE;MALE;NEUTRAL;dw#gpsht;RR#PICKP;None;None;dw1melth;;;;;;DAGG02;;;;1000;bg1;Alatos "Ravenscar" Thuibuld
ALBERT;MONSTER;DEMONIC;IMP;BOY;Albert;albert;15;MALE;MALE;NEUTRAL;None;ALBERT;None;None;dw1melge;;;IMMUNE1;;;B1-20;;;;1000;bg1;Albert
ALDETH;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Aldeth;ALDETH;5;MALE;MALE;NEUTRAL;dw#gpsht;None;None;ALDETHRU;dw1melge;;;;;;SW1H03;;;;650;bg1;Aldeth Sashenstar
ALEXAN;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;ALEXANDER;None;6;MALE;MALE;NEUTRAL;dw#gpsht;;None;None;dw1range;HELM01;;;;;BOW03;SPER01;;;300;bg1;Alexander
ALGERN;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;algern;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;wtrunsgt;;;;;;;;;;15;bg1;Algernon
ALORA;HUMANOID;HALFLING;THIEF;THIEF_FEMALE_HALFLING;alora;ALORA;4;FEMALE;FEMALE;NEUTRAL;ALORA;;WTRUNSGT;None;DPLAYER;;;;MISC88;;DAGG01;;;;0;bg1;Alora
ALORA6;HUMANOID;HALFLING;THIEF;THIEF_FEMALE_HALFLING;alora;ALORA;6;FEMALE;FEMALE;NEUTRAL;ALORA;;WTRUNSGT;None;DPLAYER;;;;MISC88;;DAGG01;;;;0;bg1;Alora
ALVANH;HUMANOID;HALFLING;CLERIC;CLERIC_MALE_HALFLING;alvahe;ALVAHE;9;MALE;MALE;NEUTRAL;dw#urbhl;;None;None;dw#pr3;;;;;;SLNG01;BLUN04;;;3000;bg1;Alvanhendar
ALYTH;HUMANOID;HALF_ELF;RANGER;THIEF_FEMALE_ELF;alyth;alyth;7;FEMALE;FEMALE;NEUTRAL;dw#urbhl;None;None;None;wtrunsgt;;;;;;SW1H07;;;;750;bg1;"Lady" Alyth Elendara
AMARAN;HUMANOID;HUMAN;DRUID;CLERIC_MALE_HUMAN;amara;AMARAN;11;MALE;MALE;NEUTRAL;dw#amara;dw#gpsht;dw#shdlg;None;dw#pr84;;;;;;BLUN37;DW#SHNBR;;;120;bg1;Amarande
AMNIS;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;None;amnis;2;MALE;MALE;NEUTRAL;dw#urbhl;None;dw#nimso;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNIS2;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;None;amnis2;2;MALE;MALE;NEUTRAL;dw#urbhl;SEEENEMY;None;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNIS3;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;Amnish3;AMNIS3;2;MALE;MALE;NEUTRAL;dw#urbhl;SEEENEMY;AMNISH3;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNIS3A;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;Amnish3a;AMNIS3;2;MALE;MALE;NEUTRAL;dw#urbhl;SEEENEMY;amnish3a;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNIS3B;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;Amnish3b;AMNIS3;2;MALE;MALE;NEUTRAL;dw#urbhl;SEEENEMY;amnish3b;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNIS4;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;None;amnis4;2;MALE;MALE;NEUTRAL;dw#urbhl;SEEENEMY;AMNISH4;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNISE;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;AmnishEnforcer;amnise;2;MALE;MALE;NEUTRAL;dw#urbhl;RR#PICKP;None;AMNISE;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNISE2;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;AMNISE2;None;2;MALE;MALE;NEUTRAL;dw#urbhl;RR#PICKP;None;AMNISE2;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNISE3;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;AMNISE3;None;2;MALE;MALE;NEUTRAL;dw#urbhl;RR#PICKP;None;AMNISE2;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNISE4;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;AMNISE4;None;2;MALE;MALE;NEUTRAL;dw#urbhl;RR#PICKP;None;AMNISE2;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMNISE5;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;AMNISE5;None;2;MALE;MALE;NEUTRAL;dw#urbhl;RR#PICKP;None;AMNISE2;dw1range;HELM08;;;;;BOW03;SW1H04;;;15;bg1;Amnian Soldier
AMSLEEP;HUMANOID;HUMAN;AMNISH_SOLDIER;CLERIC_MALE_HUMAN;None;amsleep;2;MALE;MALE;NEUTRAL;dw#urbhl;INITDLG;None;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;65;bg1;Amnian Soldier
ANDARS;HUMANOID;HUMAN;INNOCENT;SLAVE;ANDARSSON;andars;1;MALE;MALE;NEUTRAL;SLAVE;None;WTRUNSGT;None;None;;;;;;;;;;2;bg1;Andarsson
ANDOUT;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;None;andout;1;MALE;MALE;NEUTRAL;dw#innhl;WDRUNSGT;None;None;None;;;;;;;;;;15;bg1;Andout
ANDRIS;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;Andris;ANDRIS;11;MALE;158;NEUTRAL;SHOUTDLG;ANDRIS;None;None;dw#mg16;;;;;MINHP1;;;;;6000;bg1;Andris
ANGELO;HUMANOID;HUMAN;FIGHTER_MAGE;FIGHTER_MALE_HUMAN;Angelo;angelo;7;MALE;MALE;NEUTRAL;RR#PICKP;;None;None;dw#mg17;;;;;;SW1H05;;;;10000;bg1;Angelo
ANKHEG;MONSTER;ANKHEG;ANKHEG;ANKHEG;ankheg;;8;NIETHER;MALE;ENEMY;ANKHEG;None;None;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;Ankheg
ANKHEGF;MONSTER;ANKHEG;ANKHEG;ANKHEG;None;;8;NIETHER;MALE;ENEMY;ANKHEG;None;None;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;Ankheg
ANKHEGG;MONSTER;ANKHEG;ANKHEG;ANKHEG;ankheg;;8;NIETHER;MALE;ENEMY;None;ANKHEGG;ANKHEG;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;Ankheg
ANKHEGQ;MONSTER;ANKHEG;ANKHEG;ANKHEG;ankheg;;8;NIETHER;MALE;ENEMY;None;None;ANKHEG;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;Ankheg
AOLN;HUMANOID;HUMAN;INNOCENT;FIGHTER_MALE_HUMAN;None;aoln;3;MALE;MALE;NEUTRAL;dw#urbhl;INITDLG;None;None;dw1range;;;;;;BOW03;SW1H07;;;270;bg1;Aoln
APPAR;UNDEAD;SKELETON;SKELETON;SKELETON;APPAR;APPAR;1;NIETHER;158;NEUTRAL;SHOUTDLG;None;None;None;None;;;;;;;;;;65;bg1;Skeleton
ARCHDR;HUMANOID;HUMAN;DRUID;CLERIC_MALE_HUMAN;ARCHDRUID;druid2;12;MALE;MALE;NEUTRAL;dw#gpsht;INITDLG;;None;dw#pr5;;SHLD04;;;;BLUN01;DW#SHNBR;;;1000;bg1;The Archdruid
ARDENO;HUMANOID;HOBGOBLIN;HOBGOBLIN;HOBGOBLIN;Ardenor;ardeno;7;MALE;MALE;NEUTRAL;bandit;dw#prsht;RR#PICKP;None;dw1melge;HELM01;;;;;COMPS01;;;;900;bg1;Ardenor Crush
ARDROU;HUMANOID;HUMAN;INNOCENT;PEASANT_WOMAN;Ardrou;Ardrou;1;FEMALE;FEMALE;NEUTRAL;dw#innhl;WTRUNSGT;RUNENEMY;None;None;;;;;;;;;;15;bg1;Ardrouine
ARGHAI;GIANTHUMANOID;OGRE;OGRE_HALFOGRE;HALF_OGRE;ARGHAIN;arghai;5;NIETHER;MALE;NEUTRAL;dw#gpsht;ARGHA;;None;dw1melge;HELM01;;;;;SW2H02;;;;520;bg1;Arghain
ARGHH;GIANTHUMANOID;GOLEM;GOLEM_STONE;GOLEM_CLAY;arghh;;14;NIETHER;MALE;ENEMY;GENSHT01;None;None;GOLSTO01;WDASIGHT;;;;GOLSTONE;;GOLSTO;;;;8000;bg1;Argh
ARKANI;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ARKANIS;None;2;MALE;MALE;NEUTRAL;None;None;None;None;None;IHELM10;ISHLD03;;;;IAX1H01;;;;0;bg1;Arkanis
ARKANI3;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ARKANIS;arkani3;4;MALE;MALE;NEUTRAL;dw#urbhl;murder1;SEEENEMY;initmain;dw1range;HELM10;;;;;AX1H01Q;BOW03;;;60;bg1;Arkanis
ARKION;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;Arkion;ARKION;7;MALE;MALE;NEUTRAL;RR#PICKP;;;None;dw#mg18;;;;;;DAGG01;;;;900;bg1;Arkion
ARKUSH;HUMANOID;HUMAN;MAGE;MAGE_FEMALE_HUMAN;ARKUSH;ARKUSH;5;FEMALE;FEMALE;NEUTRAL;dw#urbhl;;None;;dw#mg19;;;;;;STAF01;;;;600;bg1;Arkushule
ARLIN;HUMANOID;HALF_ELF;MAGE;MAGE_MALE_ELF;ARLIN;None;7;MALE;MALE;NEUTRAL;dw#gpsht;gretek;gretek;;dw#mg20;;;;;;STAF01;;;;850;bg1;Arlin
ASHEN;HUMANOID;HUMAN;INNOCENT;NOBLE_MAN;ASHEN;ASHEN;1;MALE;MALE;NEUTRAL;dw#innhl;INITDLG;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Ashen
ASHIRU;UNDEAD;SPECTRE;FIGHTER_THIEF;THIEF_FEMALE_ELF;Ashiru;None;8;FEMALE;FEMALE;ENEMY;TURNINVS;None;None;None;dw1melth;;;;MAGE01;;SW1H21;;;;2000;bg1;Ashirukuru
ATTSLIM;HUMANOID;HALF_ELF;INNOCENT;FIGHTER_MALE_ELF;None;DORK;1;MALE;MALE;NEUTRAL;dw#innhl;SEEENEMY;None;None;dw1melge;;;;;;;;;;15;bg1;Commoner
AVARICE;HUMANOID;GOLEM;GOLEM_IRON;FIGHTER_MALE_DWARF;avarice;AVARICE;1;MALE;MALE;NEUTRAL;None;None;None;None;None;;;;;;;;;;0;bg1;Warder
AVARICEM;HUMANOID;GOLEM;THIEF;THIEF_MALE_DWARF;avaricem;None;12;MALE;MALE;ENEMY;REDDEATH;GREED;;None;dw1melth;HELM01;;IMMUNE1;RING95;SPEC02;SW1H08;;;;2500;bg1;Avarice
AVERY;HUMANOID;HUMAN;INNOCENT;CLERIC_MALE_HUMAN;None;avery;2;MALE;MALE;NEUTRAL;dw#urbhl;PRIEST1;None;None;dw1melge;;;;;;BLUN04;;;;35;bg1;Avery
B;HUMANOID;ELF;MAGE;MAGE_MALE_ELF;BPBAELOT;BPBAELOT;15;MALE;MALE;NEUTRAL;BPHUBA;;;None;;HELM19;;MIHP1;RING40;AMUL21;STAF05;STAF18;;;0;bg1;Baeloth
BAELOT7;HUMANOID;ELF;SORCERER;MAGE_MALE_ELF;BAELOTH;BDBAELOT;7;MALE;MALE;NEUTRAL;BDBAELOT;BDBAELOC;BDBCRW;;;;;;BARING;BDAMUL24;STAF02;DART02;;;0;bg1;Baeloth
BAELOTH;HUMANOID;ELF;SORCERER;MAGE_MALE_ELF;BAELOTH;BAELOTH;6;MALE;MALE;NEUTRAL;BAELOTH;;;;;;;;BARING;;STAF02;DART11;;;0;bg1;Baeloth
BAERIN;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;BAERIN;None;6;MALE;MALE;NEUTRAL;dw#gpsht;;None;None;dw1range;;;;;;BOW03;SPER01;;;300;bg1;Baerin
BAINVI;HUMANOID;PLATE;LONG_SWORD;BIRD;BAINVI;None;1;NIETHER;MALE;NEUTRAL;BAINVI;None;None;None;None;;;;MAGE01;IMOENHP1;;;;;0;bg1;
BALOR01;MONSTER;DEMONIC;TANARI;TANARRI;balor01;;13;SUMMONED_DEMON;MALE;NEUTRAL;;balor01;None;None;dw1melge;HELMNOAN;;IMMUNE3;RINGDEMN;;BALOR;;;;46000;bg1;Balor
BANDCAP;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Bandcap;BANDIT;1;MALE;MALE;NEUTRAL;dw#gpsht;BANDCAP;None;None;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDCR;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Banditcr;BANDCR;1;MALE;MALE;NEUTRAL;dw#prsht;None;None;None;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDIC;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Bandic;BANDIC;1;MALE;MALE;ENEMY;dw#gpsht;BANDIC;None;None;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Deke
BANDIT;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Bandit;BANDIT;1;MALE;MALE;ENEMY;dw#gpsht;BANDIT;None;None;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDIT2;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Bandit2;BANDIT;1;MALE;MALE;NEUTRAL;dw#gpsht;BANDIT2;Bandit4;None;HOBGOBSU;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDIT3;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;None;BANDIT;1;MALE;MALE;NEUTRAL;dw#gpsht;;None;None;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDIT4;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;BANDIT4;BANDIT;1;MALE;MALE;NEUTRAL;dw#gpsht;BANDIT;Bandit4;None;HOBGOBSU;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDITA;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;None;BANDIT;1;MALE;MALE;ENEMY;dw#gpsht;BANDIT;None;None;dw1range;;;;;;BOW03;SW1H04;;;65;bg1;Bandit
BANDITC;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Bandit;BANDIT;3;MALE;MALE;NEUTRAL;dw#prsht;RR#PICKP;BANDIT;;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Bandit
BANDITCY;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;banditcy;BANDITCY;1;MALE;MALE;NEUTRAL;dw#gpsht;RR#PICKP;BANDITCY;None;dw1range;;;;;;SW1H04;COMPB05;;;65;bg1;Ruffian
BARBARI2;HUMANOID;HALFORC;FIGHTER;FIGHTER_FEMALE_HALFORC;None;;1;FEMALE;FEMALE;PC;None;None;None;None;DPLAYER3;;;;;;STAF01;;;;0;bg1;
BARD2;HUMANOID;HUMAN;BARD;THIEF_FEMALE_HUMAN;None;;1;FEMALE;FEMALE;PC;None;None;None;None;DPLAYER3;;;;;;STAF01;;;;0;bg1;
BARDOL;HUMANOID;HUMAN;TOWN_GUARD;CLERIC_MALE_HUMAN;None;bardol;2;MALE;MALE;NEUTRAL;dw#urbhl;INITDLG;dw#nimso;None;dw1range;HELM08;;;;;BOW03;SW1H04;;;65;bg1;Bardolan
BARESH;MONSTER;LYCANTHROPE;WEREWOLF;CLERIC_MALE_HUMAN;Baresh;baresh;12;MALE;MALE;NEUTRAL;RR#PICKP;INITDLG;None;None;None;;SHLD16;;;;BLUN06;;;;1500;bg1;Baresh
BARESH2;MONSTER;LYCANTHROPE;FIGHTER;CLERIC_MALE_HUMAN;Baresh;None;12;MALE;158;NEUTRAL;baresh;;None;None;dw1melge;;SHLD16;IMMUNE1;;MINHP1;BLUN06;;;;1500;bg1;Baresh
BARSLIM;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;BARSLIM;1;MALE;MALE;NEUTRAL;dw#innhl;INITDLG;RUNENEMY;None;WDRUNSGT;;;;;SLIMED1;;;;;15;bg1;Bartender
BART0133;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;BART0133;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART0720;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;BART0720;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART10;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart10;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART11;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart11;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART12;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart12;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART13;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart13;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART14;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart14;1;MALE;MALE;NEUTRAL;dw#innhl;None;RUNENEMY;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART15;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart15;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART16;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart16;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART2;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart2;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART3;HUMANOID;HUMAN;INNOCENT;FAT_MAN;BART3;bart3;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART4;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart4;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;UBIN3304;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART5;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart5;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART6;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart6;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;LEAVECH7;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART7;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart7;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART8;HUMANOID;HUMAN;INNOCENT;FAT_MAN;Bart8;bart8;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BART9;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;bart9;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Bartender
BARUK;HUMANOID;HOBGOBLIN;HOBGOBLIN;HOBGOBLIN;Baruk;BARUK;3;MALE;MALE;NEUTRAL;dw#gpsht;BARUK;;None;dw1range;HELM01;;;;;BOW01;COMPS01;;;165;bg1;Ba'ruk
BARWLF;MONSTER;LYCANTHROPE;WEREWOLF;WEREWOLF_GREATER;None;None;7;MALE;158;ENEMY;None;;None;None;dw1melge;;;IMMUNE1;RINGWOLF;;S1-12;;;;1500;bg1;Baresh
BASILG;MONSTER;BASILISK;BASILISK_GREATER;BASILISK_GREATER;None;;10;NIETHER;MALE;ENEMY;dw#gpshm;None;GBASILSK;None;None;;;;;;BASILG1;BASILG2;BASILG3;;7000;bg1;Greater Basilisk
BASILGSU;MONSTER;BASILISK;BASILISK_GREATER;BASILISK_GREATER;None;;10;SUMMONED;SUMMONED;CONTROLLED;None;None;GBASILSK;None;None;;;;;;BASILG1;BASILG2;BASILG3;;0;bg1;Greater Basilisk
BASILL;MONSTER;BASILISK;BASILISK;BASILISK;None;;6;NIETHER;MALE;ENEMY;dw#gpshm;None;LBASILSK;None;None;;;;;;BASILL1;BASILL2;;;1400;bg1;Lesser Basilisk
BASILLSU;MONSTER;BASILISK;BASILISK;BASILISK;None;;6;SUMMONED;SUMMONED;CONTROLLED;None;None;LBASILSK;None;None;;;;;;BASILL1;BASILL2;;;0;bg1;Lesser Basilisk
BASILMUT;MONSTER;BASILISK;BASILISK_GREATER;BASILISK_GREATER;BASILMUT;;10;NIETHER;MALE;NEUTRAL;dw#gpshm;basilmut;GBASILSK;None;None;;;;;;BASILG1;BASILG2;BASILG3;;7000;bg1;Greater Basilisk
BASILNAD;MONSTER;BASILISK;BASILISK_GREATER;BASILISK_GREATER;BASILNAD;;10;NIETHER;MALE;ENEMY;None;None;GBASILSK;None;None;;;;;;BASILG1;BASILG2;BASILG3;;7000;bg1;Greater Basilisk
BASSIL;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;Bassilus;BASSIL;10;MALE;MALE;NEUTRAL;dw#gpsht;BASSILUS;;None;dw#pr87;;SHLD03;;;AMUL13;HAMM03;;;;975;bg1;Bassilus
BATTHO;MONSTER;GOLEM;GOLEM_IRON;FIGHTER_MALE_HUMAN;None;None;6;MALE;MALE;ENEMY;REDDEATH;None;None;None;dw1melmo;HELM13;;RING95;;;FBLADE;;;;4000;bg1;Battle Horror
BAT_DOOR;ANIMAL;NO_RACE;NO_CLASS;BAT_INSIDE;None;None;1;MALE;MALE;NEUTRAL;None;None;WDRUNSGT;None;None;;;;;;;;;;0;bg1;Bat
BAT_IN;ANIMAL;NO_RACE;MAGE;BAT_INSIDE;None;None;1;MALE;MALE;NEUTRAL;None;None;None;None;WDRUNSGT;;;;;;;;;;1;bg1;Bat
BAT_OUT;ANIMAL;NO_RACE;NO_CLASS;BAT_OUTSIDE;None;None;1;MALE;MALE;NEUTRAL;None;None;RANDFLY;None;None;;;;;;;;;;0;bg1;Bat
BAYARD;HUMANOID;HALF_ELF;MAGE_THIEF;THIEF_MALE_ELF;BAYARD;BAYARD;9;MALE;MALE;NEUTRAL;RR#PICKP;None;;;dw#mg21;;;;;;SW1H08;;;;900;bg1;Bayard
BD03THUG;HUMANOID;HUMAN;INNOCENT;STATIC_NOBLE_WOMAN_MATTE;bd03thug;BDPOOL04;1;0;FEMALE;NEUTRAL;BDCRWDF;None;None;None;None;;;;;;;;;;15;bg1;Noblewoman
