
file;level;type;ids;name
SPIN138;1;Innate;INNATE_FIEND_TRUE_SIGHT;True Seeing
SPIN139;1;Innate;INNATE_FIEND_DOMINATION;Domination
SPIN140;1;Innate;INNATE_FIEND_RAY_OF_ENFEEBLEMENT;Ray of Enfeeblement
SPIN150;1;Innate;SHAPESHIFT_NATURAL_FORM_1;Shapeshift: Natural Form
SPIN151;1;Innate;SHAPESHIFT_NATURAL_FORM_2;Shapeshift: Natural Form
SPIN152;1;Innate;SHAPECHANGE_MIND_FLAYER;Shapechange: Mind Flayer
SPIN153;1;Innate;SHAPECHANGE_IRON_GOLEM;Shapechange: Iron Golem
SPIN154;1;Innate;SHAPECHANGE_GIANT_TROLL;Shapechange: Giant Troll
SPIN155;1;Innate;SHAPECHANGE_GREATER_WOLFWERE;Shapechange: Greater Wolfwere
SPIN156;1;Innate;SHAPECHANGE_FIRE_ELEMENTAL;Shapechange: Fire Elemental
SPIN157;1;Innate;SHAPECHANGE_EARTH_ELEMENTAL;Shapechange: Earth Elemental
SPIN160;1;Innate;SALAMANDER_BREATHE_FIREBALL;Breathe Fireball
SPIN200;4;Innate;;Cure Serious Wounds
SPIN201;4;Innate;;Neutralize Poison
SPIN202;4;Innate;;Cause Serious Wounds
SPIN203;4;Innate;;Cloak of Fear
SPIN529;1;Innate;;End Slayer Change
SPIN530;4;Wizard;;Lower Poison Resistance
SPIN531;9;Wizard;ABAZIGAL_SHOCKWAVE;Abazigal Shockwave
SPIN532;4;Wizard;DRAGON_LOWER_ELECTRICAL;Lower Electrical Resistance
SPIN533;0;Innate;SENDAI_CHANGE;
SPIN534;9;Innate;SUMMON_DEVIL_SHADE;Call Dark Horde
SPIN535;1;Innate;GREEN_DRAGON_BREATH;Green Dragon Breath
SPIN536;0;Innate;LICH_FEAR;Fear
SPIN537;7;Innate;TROLL_FIRE_CHANGE;
SPIN538;4;Innate;MAJOR_POLYMORPH;Polymorph Other
SPIN539;2;Innate;FLAMING_SKULL_BOLT;Magma Ball
SPIN540;1;Innate;RABBIT_POWER;
SPIN541;1;Wizard;SAR_DIVINATION;Divination
SPIN542;6;Psionic;PSIONIC_DISINTEGRATE;Disintegrate
SPIN543;7;Psionic;PSIONIC_INFLICT_PAIN;Inflict Pain
SPIN544;4;Psionic;PSIONIC_SUPERIOR_INVISIBILITY;Improved Invisibility
SPIN545;1;Wizard;PSIONIC_LIFE_DRAIN;Life Drain
SPIN546;3;Psionic;PSIONIC_INERTIAL_BARRIER;Inertial Barrier
SPIN547;0;Psionic;PSIONIC_PROJECT_FORCE;Project Force
SPIN548;9;Innate;DEMOGORGON_GATE;Gate
SPIN549;9;Innate;SUMMON_INFERNAL_HOST;Summon the Infernal Host
SPIN550;8;Innate;HIVE_MOTHER_ANTIMAGIC_RAY;Anti-Magic Ray
SPIN551;4;Innate;HIVE_MOTHER_CAUSE_SERIOUS_WOUNDS;Cause Serious Wounds
SPIN552;6;Innate;HIVE_MOTHER_DISINTEGRATE;Disintegrate
SPIN553;0;Wizard;NALMISSRA_CHARM;Charm Person
SPIN554;1;Innate;GAIN_ONE_CHA_PERMANENT;Charisma Increase
SPIN555;1;Innate;GAIN_ONE_WIS_PERMANENT;Wisdom Increase
SPIN556;1;Innate;GAIN_ONE_INT_PERMANENT;Intelligence Increase
SPIN557;1;Innate;GAIN_ONE_DEX_PERMANENT;Dexterity Increase
SPIN558;1;Wizard;ERINYES_CHARM;Charm Person
SPIN559;0;Innate;BURNING_MAN_KEENING;Keening
SPIN560;9;Wizard;BURNING_MAN_CINDER_SHOWER;Cinder Shower
SPIN561;1;Innate;FIRE_GIANT_LAVA;
SPIN562;3;Innate;ICE_GOLEM_STEAM;Scalding Steam
SPIN563;1;Innate;HOLY_PILLAR_VISUAL;
SPIN564;3;Innate;SKULL_EXPLODE;Skull Trap
SPIN565;4;Innate;GAROCK_TELEPORT;Dimension Door
SPIN566;3;Innate;MIMIC_WEB;Mimic Web
SPIN567;1;Innate;MIMIC_FIRE;Mimic Fire
SPIN568;1;Innate;MIMIC_POISON;Mimic Poison
SPIN569;4;Innate;SUMMON_ICE_SALAMANDER;Summon Ice Salamander
SPIN570;4;Innate;SUMMON_FIRE_ELEMENTAL;Summon Fire Elemental
SPIN571;0;Innate;SUCCUBUS_KISS;Energy Drain
SPIN572;3;Wizard;CUTSCENE_HASTE;Haste
SPIN573;1;Innate;IMOEN_BHAAL2;
SPIN574;1;Innate;IMOEN_BHAAL1;
SPIN575;3;Innate;VORTEX_WEB;Vortex Web
SPIN576;1;Innate;DENSE_PUDDING_SPLIT;
SPIN577;1;Innate;GAIN_ONE_THACO;
SPIN578;1;Innate;GAIN_ONE_AC;
SPIN579;5;Wizard;POWER_AMP;Lightning Bolt
SPIN580;9;Wizard;IMPRISONMENT_NO_SAVE;Imprisonment
SPIN581;1;Innate;RESTORATION_IGNORE_RESIST;
SPIN582;1;Innate;CONFUSION_NO_SAVE;Confusion
SPIN583;1;Innate;POISON_NO_SAVE;
SPIN584;1;Innate;GAIN_HASTE_TEMPORARY;
SPIN585;1;Innate;GAIN_MAGIC_RESIST_PERMANENT;Magic Resistance
SPIN586;1;Innate;LOSE_FIFTEEN_LEVELS;
SPIN587;1;Innate;LOSE_FIVE_LEVELS;
SPIN588;1;Innate;LOSE_ONE_DEX_PERMANENT;
SPIN589;1;Innate;LOSE_ONE_INT_PERMANENT;
SPIN590;1;Innate;GAIN_ONE_CON_PERMANENT;Constitution Increase
SPIN591;1;Innate;GAIN_ONE_STR_PERMANENT;Strength Increase
SPIN592;5;Innate;HELM_RITUAL_SCROLL;
SPIN593;5;Innate;ODREN_RITUAL_SCROLL;
SPIN594;1;Innate;DEMOGORGON_CHANGE;
SPIN595;1;Innate;YELLOW_DRAGON_BREATH;Yellow Dragon Scorching Sand
SPIN596;1;Innate;BROWN_DRAGON_BREATH;Brown Dragon Acid Breath
SPIN597;6;Wizard;BLUE_DRAGON_BREATH;Blue Dragon Lightning Breath
SPIN598;1;Innate;SAREVOK_FLASHY1;
SPIN599;1;Innate;FIRE_HEALING;
SPIN600;1;Innate;SAREVOK_SOULSTEAL;
SPIN601;1;Priest;SPECIAL_SWEET_AIR;
SPIN602;1;Innate;CHROMATIC_DEMON_RED;
SPIN603;1;Innate;CHROMATIC_DEMON_WHITE;
SPIN604;1;Innate;CHROMATIC_DEMON_GREEN;
SPIN605;1;Innate;CHROMATIC_DEMON_YELLOW;
SPIN606;1;Innate;DECK_SUN;Sun
SPIN607;1;Innate;DECK_JESTER;Jester
SPIN608;7;Innate;DECK_VIZIER;Vizier
SPIN609;1;Innate;DECK_GEM;Gem
SPIN610;1;Innate;DECK_FATES;Erinyes
SPIN611;1;Innate;DECK_COMET;Comet
SPIN612;4;Wizard;DECK_FOOL;Fool
SPIN613;8;Innate;DECK_TALONS;Talons
SPIN614;1;Innate;DECK_ROGUE;Rogue
SPIN615;9;Innate;DECK_KNIGHT;Knight
SPIN616;9;Innate;DECK_FLAMES;Flames
SPIN617;1;Innate;DECK_EURYALE;Euryale
SPIN618;1;Innate;DECK_MOON;Moon
SPIN619;1;Innate;DECK_THRONE;Throne
SPIN621;1;Innate;DECK_KEY;Key
SPIN622;5;Innate;DECK_SKULL;Skull
SPIN623;0;Innate;DECK_MAGICIAN;Magician
SPIN624;6;Innate;DECK_VOID;Void
SPIN625;1;Innate;DECK_RUIN;Ruin
SPIN626;9;Innate;DECK_DONJON;Donjon
SPIN627;1;Innate;FROZEN_DEATH;
SPIN628;1;Innate;SLOW_FREEZE;
SPIN629;1;Innate;DECK_WHEEL;Wheel
SPIN630;4;Wizard;DECK_STRENGTH;Strength Curse
SPIN631;6;Innate;DECK_CONSTRUCT;Construct
SPIN632;6;Wizard;DECK_EMPEROR;Emperor
SPIN633;5;Priest;DECK_EMPRESS;True Seeing
SPIN634;6;Wizard;DECK_HIGH_PRIESTESS;High Priestess
SPIN635;3;Wizard;DECK_STRIFE;Strife
SPIN636;5;Priest;DECK_DEFIANCE;Defiance
SPIN637;6;Innate;DECK_GUILE;Guile
SPIN638;6;Innate;DECK_TRIUMPH;Triumph
SPIN639;4;Wizard;DECK_PLAGUE;Plague
SPIN640;1;Innate;DECK_XP_DRAIN;Energy Drain
SPIN641;1;Innate;DECK_VITALITY_DRAIN;Vitality Drain
SPIN642;5;Innate;POISONOUS_CLOUD;
SPIN643;0;Innate;FAN_BLOW;
SPIN644;4;Wizard;BALOR_FIRE_SHIELD;
SPIN645;1;Innate;WILD_MAGIC_AREA;
SPIN646;1;Innate;DEAD_MAGIC_AREA;
SPIN647;2;Innate;DISPEL_NO_SAVE;Hold Person
SPIN648;2;Innate;HOLD_PERSON_NO_SAVE;Hold Person
SPIN649;1;Innate;ENTER_POCKET_PLANE;Pocket Plane
SPIN650;5;Priest;DM_SHIELD;Armor
SPIN651;5;Priest;DM_SEE_INVISIBLE;Magic Resistance
SPIN652;5;Priest;DM_MAGIC_PROTECTION;Magic Resistance
SPIN653;5;Priest;DM_COLD_PROTECTION;Magic Resistance
SPIN654;5;Priest;DM_FIRE_PROTECTION;Magic Resistance
SPIN655;6;Wizard;DM_IMPROVED_HASTE;Improved Haste
SPIN656;3;Innate;VIEKANG_LIGHTNING;
SPIN657;1;Innate;DO_SOME_EFFECTS;
SPIN658;0;Innate;HELL_BUFFET;
SPIN659;1;Innate;TROLL_CHANGE_NITHIRI;
SPIN660;4;Innate;POOF_GONE;Teleport
SPIN661;7;Innate;EDWINA_IN_HELL;
SPIN662;7;Innate;EDWIN_CHANGE_BACK;Dispel Magic
SPIN663;2;Priest;CREATE_YOSHIMO_BLADE;Flame Blade
SPIN664;1;Innate;NETHER_SCROLL;
SPIN665;1;Innate;BEHOLDER_BLAST_VISUAL2;
SPIN666;1;Innate;ZOMBIE_LEVEL_DRAIN;Level Drain
SPIN667;1;Innate;SLAYER_BACK_TO_HUMAN_NOVIS;End Slayer Change
SPIN668;6;Innate;REMOVE_NON_PERMANENT_DEATH;
SPIN669;6;Innate;APPLY_NON_PERMANENT_DEATH;
SPIN670;1;Innate;SEA_TROLL_CHANGE;
SPIN671;4;Innate;SWOOSH_GONE;Teleport
SPIN672;4;Innate;QUICK_INVISIBLE;
SPIN673;5;Innate;SPORE_DEATH;Cloudkill
SPIN674;5;Innate;MIST_CHAOS;Chaos
SPIN675;6;Innate;MIST_HORROR;Wandering Horror
SPIN676;1;Innate;INVOKE_COURAGE;Invoke Courage
SPIN677;0;Innate;SUMMON_POISON;
SPIN678;0;Innate;ANOMEN_TITLE;
SPIN679;6;Priest;HEAL_NO_VISUAL;Heal
SPIN680;1;Innate;HARPER_DEATH_SONG;Deathsong
SPIN681;9;Innate;BANSHEE_WAIL;Wail of the Banshee
SPIN682;4;Wizard;DRAGON_LOWER_FIRE;Lower Fire Resistance
SPIN683;1;Innate;FIGURINE_SPIDER_WEB;Web Tangle
SPIN684;6;Wizard;KOA_TRUE_SIGHT_NO_VIS;True Sight
SPIN685;1;Wizard;MAGIC_MISSILE_SURE_HIT;Magic Missile
SPIN686;6;Wizard;PROTECTION_MAGIC_WEAPON_NOEFF;Protection From Magical Weapons
SPIN687;4;Wizard;SHADOW_DRAGON_SHADOWS;Create Shadows
SPIN688;1;Priest;BLACK_DRAGON_PLANT;Plant Growth
SPIN689;7;Priest;BLACK_DRAGON_INSECT;Summon Insects
SPIN690;1;Innate;HOLY_LIGHT_FROM_ABOVE;
SPIN691;1;Innate;BLACK_DRAGON_BREATH;Black Dragon Breath
SPIN692;2;Priest;DRAGON_SILENCE;Silence, 15' Radius
SPIN693;6;Innate;RED_DRAGON_HIT;
SPIN694;4;Wizard;DRAGON_STONE_SKIN;Stoneskin
SPIN695;0;Innate;DRAGON_WING_BUFFET;Wing Buffet
SPIN696;3;Innate;MOON_DOG_HOWL;Moon Dog Sight
SPIN697;2;Innate;HASTE_SELF;Mirror Image
SPIN698;4;Innate;NON_DETECTION_SELF;Improved Invisibility
SPIN699;1;Innate;INVISIBILITY_SELF;Healing Lick
SPIN700;1;Innate;TROLL_SETHP1;Troll Death
SPIN701;7;Innate;DEATHKNIGHT_FIREBALL;Unholy Fireball
SPIN702;0;Innate;FAKE_FLAME_STRIKE;Spawn Demons
SPIN703;3;Wizard;AERIE_DISPEL_MAGIC;Dispel Magic
SPIN704;7;Priest;NYMPH_CONFUSION;Confusion
SPIN706;0;Special;TRAP_VENT;
SPIN707;0;Special;TRAP_DARTS;
SPIN708;0;Special;TRAP_SLIME;
SPIN709;0;Special;TRAP_SPEAR;
SPIN710;6;Wizard;SPELL_DEFLECTION_NO_VISUAL;Spell Deflection
SPIN711;6;Priest;FINAL_HEAL;Heal
SPIN712;3;Innate;MULTIPLAYER_ANTIMAGIC;
SPIN713;4;Wizard;ICE_DUST;Ice Dust
SPIN714;3;Wizard;CELESTIAL_BOLT;Lightning Bolt
SPIN715;1;Innate;TROLL_RAT_SPAWN;
SPIN716;1;Innate;SLAYER_IMMUNE_TO_DAMAGE;
SPIN717;1;Innate;SLAYER_CHANGE_CUT_SCENE;Slayer Change
SPIN718;1;Innate;SLAYER_BACK_TO_HUMAN;End Slayer Change
SPIN719;9;Wizard;CUTSCENE_METEOR_SWARM;Meteor Swarm
SPIN720;3;Innate;CUTSCENE_DAMAGE_1C;
SPIN721;3;Innate;CUTSCENE_DAMAGE_1B;
SPIN722;0;Innate;GREAT_DRUID_TITLE;
SPIN723;4;Wizard;DRAGON_RAIN;Dragon Rain
SPIN724;7;Innate;RAISSA_RESTORE;
SPIN725;1;Innate;SKIN_DANCER_RESTORE_2;
SPIN726;3;Innate;CUTSCENE_DAMAGE_1;
SPIN727;1;Innate;NOSAVE_PSIONIC_BLAST;Psionic Blast
SPIN728;1;Innate;SKIN_DANCER_RESTORE;
SPIN729;1;Innate;SKIN_DANCER_SWITCH;
SPIN730;4;Innate;SUMMON_FUNGUS;Summon Fungus
SPIN731;0;Innate;WISH_SPELL_FAILURE;Wish
SPIN732;0;Innate;WISH_LOSE_SPELL;Wish
SPIN733;0;Innate;WISH_POISON;Wish
SPIN734;0;Innate;WISH_HEAL_PARTY;Wish
SPIN735;0;Innate;WISH_RABBIT;Wish
SPIN736;0;Innate;WISH_GLOBE;Wish
SPIN737;0;Innate;WISH_MEMORIZE;Wish
SPIN738;0;Innate;WISH_PLANE;Wish
SPIN739;1;Innate;TROLL_SPECTRAL_CHANGE;
SPIN740;1;Innate;TROLL_SNOW_CHANGE;
SPIN741;1;Innate;TROLL_SPIRIT_CHANGE;
SPIN742;7;Innate;TROLL_GIANT_CHANGE;
SPIN743;1;Innate;TROLL_FRESHWATER_CHANGE;
SPIN744;1;Innate;TROLL_DESERT_CHANGE;
SPIN745;0;Innate;AERIE_PORTRAIT;
SPIN746;0;Innate;RESTORE_FULL_HEALTH;
SPIN747;1;Innate;HELL_SELFISH_EVIL;
SPIN748;1;Innate;HELL_SELFISH_GOOD;
SPIN749;1;Innate;HELL_WRATH_EVIL;
SPIN750;1;Innate;HELL_WRATH_GOOD;
SPIN751;1;Innate;HELL_PRIDE_EVIL;
SPIN752;1;Innate;HELL_PRIDE_GOOD;
SPIN753;1;Innate;HELL_FEAR_EVIL;
SPIN754;1;Innate;HELL_FEAR_GOOD;
SPIN755;1;Innate;HELL_GREED_EVIL;
SPIN756;1;Innate;HELL_GREED_GOOD;
SPIN757;1;Innate;IRENICUS_WORD_OF_POWER;Word Of Power
SPIN758;1;Innate;PLAYER1_WORD_OF_POWER;Word Of Power
SPIN759;1;Innate;HELL_GAIN_CHR;Charisma Increase
SPIN760;1;Innate;HELL_GAIN_CON;Constitution Increase
SPIN761;1;Innate;HELL_GAIN_DEX;Dexterity Increase
SPIN762;1;Innate;HELL_GAIN_WIS;Wisdom Increase
SPIN763;1;Innate;HELL_GAIN_INT;Intelligence Increase
SPIN764;1;Innate;HELL_GAIN_STR;Strength Increase
SPIN765;1;Innate;HELL_LOSE_XP;
SPIN766;1;Innate;HELL_LOSE_DEX;
SPIN767;1;Innate;HELL_LOSE_HP;
SPIN768;1;Innate;HELL_DISPELL;
SPIN769;1;Innate;HELL_HOLD;
SPIN770;1;Innate;HELL_EXPLODE;
SPIN771;1;Innate;HELL_DAMAGE_HALF;
SPIN772;9;Innate;HELL_FEAR;
SPIN773;1;Innate;EVIL_LAYONHANDS;Lay On Hands
SPIN774;1;Wizard;PSIONIC_MAZE;Psionic Maze
SPIN775;1;Innate;PSIONIC_MIND_BLAST;Psionic Blast
SPIN776;1;Wizard;MAKE_STATUE;
SPIN777;1;Innate;BEHOLDER_BLAST_VISUAL;
SPIN778;1;Innate;WILD_MAGIC_ZONE;Wild Magic Zone
SPIN779;3;Innate;ANTI_MAGIC_ZONE;Anti-Magic
SPIN780;1;Innate;FLASHY_DEATH_3;
SPIN781;1;Innate;FLASHY_DEATH_2;
SPIN782;1;Innate;FLASHY_DEATH_1;
SPIN783;1;Innate;SLAYER_ENEMY;Slayer Change
SPIN784;1;Innate;SNAKE_GAZE;Snake Gaze
SPIN785;1;Innate;PERM_CHARM;
SPIN786;9;Innate;LICH_IMPRISON;Banishment
SPIN787;1;Innate;SMALL_DAMAGE_SPELL;
SPIN788;9;Innate;DEMILICH_TRAP_SOUL;Demilich Soul Trap
SPIN789;9;Innate;DEMILICH_DEATH;Demilich Howl
SPIN790;1;Innate;LONG_VISUAL2;
SPIN791;1;Innate;TROLL_ICE_CHANGE;
SPIN792;1;Innate;LONG_VISUAL;
SPIN793;1;Innate;FLASHY_DEATH_YEAH;
SPIN794;1;Innate;FLASHY_4;
SPIN795;1;Innate;FLASHY_3;
SPIN796;1;Innate;FLASHY_2;
SPIN797;1;Innate;FLASHY_1;
SPIN798;1;Innate;BODHI_BAT_ASYLUM;
SPIN799;5;Priest;DACE_FLAME;Flame Strike
SPIN800;1;Innate;FLAME_HEAD;
SPIN801;1;Innate;NO_FEAR_PARTY;
