FISHINGFORTROUBLE: 233 new, 0 changed

NEW (233):
  YSADAG    Adag
  YSMAN4    Fisherman
  YSMAN4R   Fisherman
  YSMAN5    Fisherman
  YSMAN5R   Fisherman
  YSMAN6    Fisherman
  YSMAN6R   Fisherman
  YSMCOOK   The Silverale Hall's Master Chef
  YSMORV    Morvans
  YSMSEAT1  Peasant
  YSMSEAT2  Peasant
  YSMSEAT3  Peasant
  YSMSEAT4  Peasant
  YSMSERV   Servant
  YSMUKTAR  Mukhtar
  YSNOBMWA  Nobleman
  YSNOBMWB  Nobleman
  YSNOBMWC  Nobleman
  YSNOBMWD  Nobleman
  YSNOBMWE  Nobleman
  YSNOBM_A  Nobleman
  YSNOBM_B  Nobleman
  YSNOBM_C  Nobleman
  YSNOBM_D  Nobleman
  YSNOBM_E  Nobleman
  YSNOBWWA  Noblewoman
  YSNOBWWB  Noblewoman
  YSNOBWWC  Noblewoman
  YSNOBWWD  Noblewoman
  YSNOBWWE  Noblewoman
  YSNOBW_A  Noblewoman
  YSNOBW_B  Noblewoman
  YSNOBW_C  Noblewoman
  YSNOBW_D  Noblewoman
  YSNOBW_E  Noblewoman
  YSNURI    Nuri
  YSOENGUS  Oengus
  YSOGREMA  Ogre Mage
  YSPASHAN  Pashan
  YSQADIR   Qadir
  YSREDGRD  Red Guard
  YSREDWIZ  Red Wizard
  YSRIMON   Rimon
  YSSANOB1  Noblewoman
  YSSANOB2  Nobleman
  YSSERJ    Guard Sergeant
  YSSTBBOY  Stable Boy
  YSSTHIEF  Shadow Thief
  YSTAHIR   Tahir
  YSTANARR  Tanar'ri
  YSTELTHE  Telther Strongarm
  YSTIGGRD  House Guard
  YSTIGNCH  Tigernach mic Muirgheas
  YSTMWA    Peasant
  YSTMWB    Peasant
  YSTMWC    Peasant
  YSTMWD    Peasant
  YSTMWE    Peasant
  YSTM_A    Peasant
  YSTM_B    Peasant
  YSTM_C    Peasant
  YSTM_D    Peasant
  YSTM_E    Peasant
  YSTRES1   Nobleman
  YSTRES2   Nobleman
  YSTRES3   Noblewoman
  YSTRES4   Noblewoman
  YSTWWA    Commoner
  YSTWWB    Commoner
  YSTWWC    Commoner
  YSTWWD    Commoner
  YSTWWE    Commoner
  YSTW_A    Commoner
  YSTW_B    Commoner
  YSTW_C    Commoner
  YSTW_D    Commoner
  YSTW_E    Commoner
  YSWDMAN   Woodsman
  YSWMN1R   Fishwife
  YSWMN2R   Fishwife
  YSWMN3R   Fishwife
  YSWMN4R   Fishwife
  YSWMN5R   Fishwife
  YSWMN6R   Fishwife
  YSWOMAN1  Commoner
  YSWOMAN2  Commoner
  YSWOMAN3  Commoner
  YSWOMAN4  Commoner
  YSWOMAN5  Commoner
  YSWOMAN6  Commoner
  YSWSEAT1  Commoner
  YSWSEAT2  Commoner
  YSWSEAT3  Commoner
  YSWSEAT4  Commoner
  YSWTCHMN  Watchman
  YSYASAR   Yasar
