
file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;name
AEMESS;HUMANOID;GNOME;FIGHTER;FIGHTER_MALE_DWARF_LOW;aemess;aemess;4;MALE;MALE;NEUTRAL;SHOUT;SEEENEMY;AEMESS;None;None;;;;;;;SW1H04;;;320;Messenger
AERBOD01;HUMANOID;ELF;CLERIC_MAGE;MAGE_FEMALE_ELF;Aerie;aerie;6;FEMALE;FEMALE;NEUTRAL;AERIE;SHOUTDLG;None;None;WTASIGHT;;;;;;staf01;slng01;;;0;Aerie
AERIE;HUMANOID;ELF;CLERIC_MAGE;DEATH_KNIGHT;Aerie;Aerie;9;FEMALE;FEMALE;NEUTRAL;None;None;None;None;None;;;;;;;;;;0;Aerie
AERIE10;HUMANOID;ELF;CLERIC_MAGE;OGRE;Aerie;Aerie;9;FEMALE;FEMALE;NEUTRAL;AERIE;SHOUTINV;None;None;aeriex;;;;;;STAF01;SLNG01;;;0;Aerie
AERIE11;HUMANOID;ELF;CLERIC_MAGE;OGRE;Aerie;Aerie;10;FEMALE;FEMALE;NEUTRAL;AERIE;SHOUTINV;None;None;aeriex;;;;;;STAF01;SLNG01;;;0;Aerie
AERIE12;HUMANOID;ELF;CLERIC_MAGE;MAGE_FEMALE_ELF;Aerie;Aerie25a;10;FEMALE;FEMALE;NEUTRAL;AERI25;SHOUTINV;None;None;aeriex;;;RING06;;;STAF19;SLNG04;;;0;Aerie
AERIE6;HUMANOID;ELF;CLERIC_MAGE;OGRE;Aerie;aerie;6;FEMALE;FEMALE;NEUTRAL;AERIE;SHOUTINV;None;None;aeriex;;;;;;STAF01;SLNG01;;;0;Aerie
AERIE7;HUMANOID;ELF;CLERIC_MAGE;OGRE;Aerie;aerie;7;FEMALE;FEMALE;NEUTRAL;AERIE;SHOUTINV;None;None;aeriex;;;;;;STAF01;SLNG01;;;0;Aerie
AERIE9;HUMANOID;ELF;CLERIC_MAGE;OGRE;Aerie;aerie;8;FEMALE;FEMALE;NEUTRAL;AERIE;SHOUTINV;None;None;aeriex;;;;;;STAF01;SLNG01;;;0;Aerie
AESOLD;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;aesold;aesold;7;MALE;MALE;NEUTRAL;SHOUT;INITRG13;None;None;WTASIGHT;helm01;shld15;;;;sw1h01;;;;650;Soldier
AEWERE1;HUMANOID;LYCANTHROPE;WEREWOLF;FIGHTER_MALE_HUMAN;aewere1;aewere1;10;MALE;MALE;NEUTRAL;aewere1;SHOUT;None;None;WTASIGHT;;;;immune1;;sw1h01;;;;2400;Fighter
AEWERE2;HUMANOID;LYCANTHROPE;FIGHTER;FIGHTER_MALE_HUMAN;aewere2;aewere2;10;MALE;MALE;NEUTRAL;SHOUT;aewere;None;None;WTASIGHT;;;immune1;;;sw1h01;;;;2400;Fighter
AEWERE3;HUMANOID;LYCANTHROPE;FIGHTER;FIGHTER_MALE_HUMAN;aewere3;aewere3;10;MALE;MALE;NEUTRAL;SHOUT;aewere;None;None;WTASIGHT;;;immune1;;;sw1h01;;;;2400;Fighter
AEWERE4;HUMANOID;LYCANTHROPE;FIGHTER;FIGHTER_MALE_HUMAN;aewere4;aewere4;10;MALE;MALE;NEUTRAL;SHOUT;aewere;None;None;WTASIGHT;;;immune1;;;sw1h01;;;;2400;Fighter
AEWERE5;HUMANOID;LYCANTHROPE;FIGHTER;FIGHTER_MALE_HUMAN;aewere5;aewere5;10;MALE;MALE;NEUTRAL;SHOUT;aewere;None;None;WTASIGHT;;;immune1;;;sw1h01;;;;2400;Fighter
AEWERE6;HUMANOID;LYCANTHROPE;FIGHTER;FIGHTER_MALE_HUMAN;aewere6;aewere6;10;MALE;MALE;NEUTRAL;SHOUT;aewere;None;None;WTASIGHT;;;immune1;;;sw1h01;;;;2400;Fighter
AEWIMER1;HUMANOID;HUMAN;INNOCENT;NOBLE_MAN;aewimer1;aewimer1;1;MALE;MALE;NEUTRAL;SHOUT;RUNENEMY;aewimer1;wtrunsgt;None;;;;;;;;;;15;Merchant
AEWIMER2;HUMANOID;HUMAN;INNOCENT;FAT_MAN;aewimer2;aewimer1;1;MALE;MALE;NEUTRAL;aewimer1;RUNENEMY;wtrunsgt;None;None;;;;;;;;;;15;Merchant
AEWIMER3;HUMANOID;HUMAN;INNOCENT;THIEF_MALE_HUMAN;aewimer3;aewimer1;1;MALE;MALE;NEUTRAL;aewimer1;RUNENEMY;wtrunsgt;None;None;;;;;;;;;;15;Merchant
AHAMMED;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;ahammed;1;MALE;MALE;NEUTRAL;SHOUT;SHOUTDLG;None;None;WDRUNSGT;;;;;;;;;;15;Servant
AKAE;HUMANOID;ELF;FIGHTER;FIGHTER_MALE_ELF;akae;akae;12;MALE;MALE;NEUTRAL;gpshout;akae;kensai;useitem;None;;sw1h46;;;;sw1h43;;;;8000;Akae
ALAR;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN_LOW;None;alar;7;MALE;MALE;NEUTRAL;None;None;None;None;None;;;;;;;;;;1400;Alar
ALEX;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;NobleOrder;Knight;16;MALE;MALE;ENEMY;NOrder;None;None;None;WTARSGT;HELM08;shld13;;;;;sw1h20;;;7100;Sir Beverus
ALHEL;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;NobleOrder;knight;18;MALE;MALE;ENEMY;NORDER;Mage18A;None;None;WTARSGT;;;;;;staf01;;;;11400;Alhelor
ALPHONSE;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;None;ffcrowd3;1;MALE;MALE;NEUTRAL;SHOUT;ALPHONSE;None;None;None;;;;;;;;;;10;Alphonse
ALUFIE01;HUMANOID;ELF;FIGHTER;FIGHTER_FEMALE_ELF;None;None;20;FEMALE;FEMALE;ENEMY;None;None;None;None;CFIGH20B;helmnoan;;immune1;ringdemn;;sw1h52;;;;11000;Alu-Fiend
ALUFIE02;HUMANOID;DEMONIC;TANARI;FIGHTER_FEMALE_ELF;None;None;20;SUMMONED_DEMON;FEMALE;ENEMY;SHOUT;grpsht01;None;None;carch20b;helmnoan;;ringdemn;immune1;;bow02;;;;11000;Alu-Fiend
ALYNAR;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;alynar;alynar;12;MALE;MALE;NEUTRAL;SHOUT;alynar;PALAD10;None;None;;shld05;;;;sw1h05;;;;2500;Sir Alynar
AMARCH01;HUMANOID;HUMAN;FIGHTER_MAGE;FIGHTER_MALE_HUMAN_LOW;AMARCH01;Amarch02;16;MALE;MALE;NEUTRAL;AMARCH01;None;None;figmag16;WTASIGHT;HELM33;;;;;SW2H11;BOW20;;;10000;Captain Erelon
AMARCH02;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;AMARCH02;Amarch01;14;MALE;MALE;NEUTRAL;AMARCH02;None;None;None;WTARSGT;helm33;;;;;BOW04;SW1h05;;;6000;Mercenary
AMASANA;HUMANOID;HUMAN;INNOCENT;THIEF_FEMALE_HUMAN;amasana;amasana;1;FEMALE;FEMALE;NEUTRAL;AMASANA;None;None;None;WTRUNSGT;;;;;;;;;;5;Asana Haraad
AMBAR01;HUMANOID;HUMAN;INNOCENT;FAT_MAN;AMbar01;AMbar01;1;MALE;MALE;NEUTRAL;GRPSHT01;steal25;none;None;WTRUNSGT;;;;;;;;;;5;Zakee Rafeha
AMBOY01;HUMANOID;HUMAN;INNOCENT;BOY;AMBoy01;AMBOY01;1;EXTRA;MALE;NEUTRAL;GRPSHT01;AMWANDER;None;None;AMPEAS;;;;;;;;;;5;Boy
AMBOY02;HUMANOID;HUMAN;INNOCENT;BOY;AMBoy02;AMBOY01;1;MALE;MALE;NEUTRAL;GRPSHT01;AMWAND2;none;None;AMPEAS;;;;;;;;;;5;Boy
AMBSLEEP;HUMANOID;HUMAN;INNOCENT;BOY;ambsleep;sleepdw;1;MALE;MALE;NEUTRAL;SHOUT;None;None;None;None;;;;;;;;;;5;Boy
AMBUSH01;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Ambush;None;4;MALE;MALE;ENEMY;None;;None;None;None;HELM01;;;;;SPER01;XBOW01;;;420;Gatekeeper
AMCAPT01;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;amcapt01;amcapt01;20;MALE;MALE;NEUTRAL;None;AMMERC;None;None;gpmerc;helm33;shld29;;;;sw1h73;;;;11000;Mercenary Captain
AMCARRAS;HUMANOID;HUMAN;MAGE_THIEF;FIGHTER_MALE_HUMAN;AMcarras;amcarras;14;MALE;MALE;NEUTRAL;SmugPlot;Thf01Sht;ThiefMag;AMCARRAS;None;;;;;;SW1h05;bow06;;;500;Carras
AMCLER01;HUMANOID;HUMAN;INNOCENT;CLERIC_MALE_HUMAN;amcler01;amcler01;10;MALE;MALE;NEUTRAL;AMCLER01;None;None;None;wtasight;;;ring43;;;blun01;;;;1400;Priest of Waukeen
AMCLER02;HUMANOID;HUMAN;INNOCENT;CLERIC_MALE_HUMAN;amcler02;amcler02;10;MALE;MALE;NEUTRAL;pries10a;None;None;None;wtasight;;;;;;;;;;1400;Chyil
AMCONM01;HUMANOID;LEATHER;INNOCENT;PEASANT_MAN;amconm01;amman01;1;MALE;MALE;NEUTRAL;AMTALK2;GRPSHT01;none;None;AMPEAS;;;;;;;;;;5;Commoner
AMCONM02;HUMANOID;LEATHER;INNOCENT;FAT_MAN;amconm02;amman01;1;MALE;MALE;NEUTRAL;AMTALK2;GRPSHT01;none;None;AMPEAS;;;;;;;;;;5;Commoner
AMCONW01;HUMANOID;LEATHER;INNOCENT;HARLOT_WOMAN;amconw01;amfem01;1;FEMALE;FEMALE;NEUTRAL;AMTALK2;GRPSHT01;none;None;AMPEAS;;;;;;;;;;5;Commoner
AMCOW;ANIMAL;MAMMAL;NO_CLASS;COW;None;None;1;MALE;MALE;NEUTRAL;None;None;None;None;AMCOW;;;;;;;;;;0;Cow
AMCST01;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;AMcst01;AMcst01;1;MALE;MALE;NEUTRAL;GRPSHT01;None;none;None;AMPEAS;;;;;;;;;;5;Customer
AMCST02;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;AMCST02;Amcst02;14;MALE;MALE;NEUTRAL;GRPSHT01;AMMERC;None;None;WTASIGHT;helm33;Shld04;;;;SW1h05;;;;5000;Mercenary
AMCST03;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;AMCST03;Amcst03;14;FEMALE;FEMALE;NEUTRAL;GRPSHT01;AMMERC;None;None;WTASIGHT;helm33;Shld04;;;;SW1h05;;;;1000;Mercenary
AMCST04;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN_LOW;AMCST04;Amcst04;10;MALE;MALE;NEUTRAL;GRPSHT01;AMMERC;None;mage10c;WTASIGHT;;;;;;dagg01;;;;1000;Mage
AMCUST01;HUMANOID;HUMAN;INNOCENT;PEASANT_WOMAN;amcust01;amcust01;1;FEMALE;FEMALE;NEUTRAL;SHOUT;None;None;None;WDRUNSGT;;;;;;;;;;15;Commoner
AMCUST02;HUMANOID;HUMAN;INNOCENT;NOBLE_MAN;amcust02;amcust01;1;MALE;MALE;NEUTRAL;SHOUT;None;None;None;WDRUNSGT;;;;;;;;;;15;Nobleman
AMDUEL01;HUMANOID;CHAIN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;amduel01;ammerc07;6;EXTRA3;MALE;NEUTRAL;None;AMDUEL2;None;AMMERC;gpmerc;helm33;shld29;minhp1;;;sw1h05;;;;2000;Mercenary
AMDUEL02;HUMANOID;CHAIN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;amduel02;ammerc07;6;EXTRA4;MALE;NEUTRAL;None;AMDUEL2;None;AMMERC;gpmerc;helm33;shld29;minhp1;;;sw1h05;;;;2000;Mercenary
AMDUEL03;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;amduel03;amcapt01;20;MALE;MALE;NEUTRAL;GRPSHT01;AMDUEL1;None;AMMERC;gpmerc;helm33;shld29;;;;sw1h73;;;;11000;Mercenary Captain
AMELM01;HUMANOID;HUMAN;CLERIC_MAGE;ELMINSTER;amelm01;amelm01;29;MALE;MALE;NEUTRAL;AMELM01;None;None;None;None;helm01;;stonskin;RING07;AMUL14;BLUN05;;;;25000;Elminster
AMFAHEED;HUMANOID;HUMAN;MAGE;FIGHTER_MALE_HUMAN;amfaheed;amfaheed;20;MALE;MALE;NEUTRAL;GRPSHT01;amfaheed;None;None;CKMAG20B;;sw1h44;;;;sw1h44;;;;12000;Faheed
AMFEM01;HUMANOID;HUMAN;INNOCENT;PEASANT_WOMAN;AMfem01;AMfem01;1;EXTRA;FEMALE;NEUTRAL;None;GRPSHT01;AMWANDER;AMTALK1;AMPEAS;;;;;;;;;;5;Commoner
AMFEM02;HUMANOID;HUMAN;INNOCENT;FAT_WOMAN;AMfem02;AMfem02;1;EXTRA;FEMALE;NEUTRAL;AMWANDER;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMFEM03;HUMANOID;HUMAN;INNOCENT;PEASANT_WOMAN;AMfem03;AMfem01;1;FEMALE;FEMALE;NEUTRAL;AMWAND2;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMFEM04;HUMANOID;HUMAN;INNOCENT;HARLOT_WOMAN;AMfem04;AMfem02;1;FEMALE;FEMALE;NEUTRAL;AMWAND2;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMFSLEEP;HUMANOID;HUMAN;INNOCENT;SLEEPING_WOMAN_HUMAN;None;sleepdw;1;FEMALE;FEMALE;NEUTRAL;SHOUT;None;None;None;None;;;;;;;;;;0;Sleeping Woman
AMGIRL01;HUMANOID;HUMAN;INNOCENT;GIRL;AMGIRL01;AMGIRL01;1;EXTRA;FEMALE;NEUTRAL;AMWANDER;GRPSHT01;None;None;AMPEAS;;;;;;;;;;5;Girl
AMGIRL02;HUMANOID;HUMAN;INNOCENT;GIRL;AMGIRL02;AMGIRL01;1;FEMALE;FEMALE;NEUTRAL;AMWAND2;GRPSHT01;none;None;AMPEAS;;;;;;;;;;5;Girl
AMGRAV01;HUMANOID;HUMAN;INNOCENT;BOY;amgrav01;amgrav01;1;MALE;MALE;NEUTRAL;GRPSHT01;None;None;None;AMPEAS;;;;;;;;;;5;Boy
AMIA;HUMANOID;HUMAN;INNOCENT;HARLOT_WOMAN;amia;amia;1;FEMALE;FEMALE;NEUTRAL;SHOUT;SHOUTDLG;None;None;WDRUNSGT;;;;;;;;;;15;Servant
AMINTB01;HUMANOID;HUMAN;INNOCENT;BOY;amintb01;amintb01;1;MALE;MALE;NEUTRAL;SHOUT;None;None;AMPEAS;WDRUNSGT;;;;;;;;;;5;Boy
AMINTM01;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;amintm01;amintm01;1;MALE;MALE;NEUTRAL;SHOUT;None;none;AMPEAS;WDRUNSGT;;;;;;;;;;5;Commoner
AMINTW01;HUMANOID;HUMAN;INNOCENT;PEASANT_WOMAN;amintw01;amintm01;1;FEMALE;FEMALE;NEUTRAL;SHOUT;None;None;AMPEAS;WDRUNSGT;;;;;;;;;;5;Commoner
AMINTW02;HUMANOID;HUMAN;INNOCENT;FAT_WOMAN;amintw01;amintm01;1;FEMALE;FEMALE;NEUTRAL;SHOUT;None;None;AMPEAS;WDRUNSGT;;;;;;;;;;5;Commoner
AMLICH01;UNDEAD;LICH;MAGE;LICH;amlich01;amlich01;30;MALE;MALE;NEUTRAL;AMLICH01;None;None;None;AMLICH02;HELMNOAN;;RING46;LICH;RING95;LICH02;;;;25000;Vongoethe
AMMAG01;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;ammag01;ammag01;14;MALE;MALE;NEUTRAL;INPAIVSG;None;None;None;None;;;minhp1;;;;;;;12000;Mage
AMMAJIRA;HUMANOID;HUMAN;CLERIC;CLERIC_FEMALE_HUMAN_LOW;ammajira;ammajira;20;FEMALE;FEMALE;NEUTRAL;grpsht01;None;None;None;ccler20b;;;;;;blun21;;;;12000;Majira
AMMAN01;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;AMman01;AMman01;1;EXTRA;MALE;NEUTRAL;AMWANDER;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMMAN02;HUMANOID;HUMAN;INNOCENT;FAT_MAN;AMman02;AMman02;1;EXTRA;MALE;NEUTRAL;AMWANDER;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMMAN03;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;AMman03;AMman01;1;MALE;MALE;NEUTRAL;AMWAND2;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMMAN04;HUMANOID;HUMAN;INNOCENT;BEGGAR_MAN;AMman04;AMman02;1;MALE;MALE;NEUTRAL;AMWAND2;AMTALK1;GRPSHT01;None;AMPEAS;;;;;;;;;;5;Commoner
AMMAYOR;HUMANOID;HUMAN;INNOCENT;FAT_MAN;ammayor;ammayor;1;MALE;MALE;NEUTRAL;AMMAYOR;None;None;None;WTRUNSGT;;;;;;;;;;5;Omar Haraad
AMMERC01;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;ammerc01;ammerc01;12;MALE;MALE;NEUTRAL;None;amkchk;None;None;CFIGH20B;helm33;shld29;;;;sw1h05;;;;2000;Mercenary
AMMERC02;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;ammerc02;ammerc02;14;MALE;MALE;NEUTRAL;amkchk;None;None;None;CFIGH20B;helm33;shld29;;;;sw1h05;;;;3000;Mercenary
AMMERC03;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;ammerc03;ammerc03;14;MALE;MALE;NEUTRAL;GRPSHT01;AMMERC03;None;None;WTASIGHT;helm33;Shld04;;;;SW1h05;;;;1500;Mercenary
AMMERC04;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;ammerc04;ammerc04;12;FEMALE;FEMALE;NEUTRAL;GRPSHT01;AMMERC04;None;None;WTASIGHT;helm33;Shld04;;;;SW1h05;;;;1000;Mercenary
AMMERC07;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;ammerc07;ammerc07;12;EXTRA2;MALE;NEUTRAL;None;MERCWAND;AMMERC;None;gpmerc;HELM33;SHLD29;;;;SW1H29;;;;11000;Mercenary
AMMERC08;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;ammerc08;ammerc07;8;EXTRA2;MALE;NEUTRAL;None;MERCWAND;AMMERC;None;gpmerc;HELM33;;;;;BOW04;SW1H29;;;8000;Mercenary
AMMERC09;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;ammerc09;ammerc07;5;MALE;MALE;ENEMY;None;MERCWAND;AMMERC;None;gpmerc;;;;;;BOW03;SW1H29;;;2000;Mercenary
AMMGRD01;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammgrd01;ammgrd01;13;MALE;MALE;NEUTRAL;AMMGRD;GRPSHT01;None;None;CMONK20b;;;;;;;;;;10000;Monk
AMMGRD02;HUMANOID;HUMAN;MONK;MONK_FEMALE_HUMAN;ammgrd02;ammgrd02;13;EXTRA5;FEMALE;NEUTRAL;DEADBALT;AMMGRD;MONKWAND;None;balmonk;;;;;;;;;;10000;Monk
AMMGRD03;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammgrd03;ammgrd02;6;MALE;MALE;ENEMY;DEADBALT;None;None;None;balmonk;;;;;;;;;;10000;Monk
AMMGRD04;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammgrd04;ammgrd02;20;MALE;MALE;NEUTRAL;AMMGRD;GRPSHT01;None;None;balmonk;;;;;;;;;;20000;Guard Captain
AMMGRD05;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammgrd05;ammgrd05;8;MALE;MALE;NEUTRAL;AMMGRD;GRPSHT01;None;None;CMONK20b;;;;;;;;;;4000;Monk
AMMINOT;MONSTER;MINOTAUR;UMBERHULK;MINOTAUR;None;;4;MALE;MALE;ENEMY;None;chalDIE;None;None;MINDLESS;;;;;;UMBER01;;;;1000;Minotaur
AMMLEGS;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammlegs;amnlegs;13;MALE;MALE;NEUTRAL;None;ammlegs;None;None;CMONK20b;;;;;;;;;;10000;Monk
AMMONK01;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammonk01;ammonk01;13;MALE;MALE;NEUTRAL;ammonk01;None;None;None;None;;;MINHP1;;;;;;;4000;Monk
AMMONK02;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammonk02;ammonk02;13;MALE;MALE;NEUTRAL;None;None;inpaivsg;smugplot;balmonk;;;;;;;;;;10000;Monk
AMMONK03;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammonk03;ammonk03;21;MALE;MALE;NEUTRAL;None;GRPSHT01;None;None;WTASIGHT;;;;;;;;;;23000;Monk
AMMONK04;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammonk04;none;6;MALE;MALE;NEUTRAL;None;smugplot;None;None;balmonk;;;;;;;;;;10000;Monk
AMMONK05;HUMANOID;HUMAN;MONK;MONK_FEMALE_HUMAN;ammonk05;none;6;FEMALE;FEMALE;NEUTRAL;None;smugplot;None;None;balmonk;;;;;;;;;;10000;Monk
AMMONK06;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammonk06;none;6;MALE;MALE;NEUTRAL;None;smugplot;None;None;balmonk;;;;;;;;;;10000;Monk
AMMONK07;HUMANOID;HUMAN;MONK;MONK_MALE_HUMAN;ammonk07;ammonk07;20;MALE;MALE;NEUTRAL;None;None;None;None;None;;;MINHP1;;;;;;;23000;Monk
AMMONK08;HUMANOID;HUMAN;MONK;MONK_FEMALE_HUMAN;ammonk08;ammonk08;20;FEMALE;FEMALE;NEUTRAL;None;None;None;None;None;;;MINHP1;;;;;;;23000;Monk
AMMSLEEP;HUMANOID;HUMAN;INNOCENT;SLEEPING_MAN_HUMAN;None;sleepdw;1;MALE;MALE;NEUTRAL;SHOUT;None;None;None;None;;;;;;;;;;0;Sleeping Man
AMNCEN1;HUMANOID;HUMAN;FIGHTER;AMNIAN_SOLDIER;None;amncen1;16;MALE;MALE;ENEMY;ENFORCED;GPSHOUT;SHOUTDL2;None;AMNCEN1;HELM08;;;;;sper01;;;;7300;Amnian Centurion
AMNG1;HUMANOID;HUMAN;INNOCENT;AMNIAN_SOLDIER;AmnG1;amng1;8;MALE;MALE;NEUTRAL;SHOUT;None;SEEENEMY;None;WTARSGT;HELM08;;;;;SPER01;;;;15;Amnian Soldier
AMNG2;HUMANOID;HUMAN;INNOCENT;AMNIAN_SOLDIER;None;amng2;8;MALE;MALE;NEUTRAL;SHOUT;None;SEEENEMY;None;WTARSGT;HELM08;;;;;SPER01;;;;15;Amnian Soldier
