file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;summon;comment;MonsterId;ValidatedMonsterId;ValidatedLevel;ValidatedItems;ValidatedScript;game;name
FAMPSD;MONSTER;WYVERN;MAGE;WYVERN_FAMILIAR;FAMPSD;FAMIL1;3;NIETHER;MALE;ALLY;;NONE;NONE;NONE;;;;REGHP1;MOVRAT10;IMMCLOUD;PSDCLAW;PSDCLAW;;;0;bg1,bg2;;;BabyWyvern;false;;;;;Pseudo-dragon
FAMPSD25;MONSTER;WYVERN;MAGE;WYVERN_FAMILIAR;FAMPSD;FAMIL125;8;NIETHER;MALE;ALLY;;NONE;NONE;NONE;;;;REGHP1;MOVRAT10;IMMCLOUD;PSDCLAW;PSDCLAW;;;0;spell_rev,bg2;;;BabyWyvern;false;;;;;Pseudo-dragon
NWYVBAB;MONSTER;WYVERN;WYVERN;WYVERN;Wyvern;;7;NIETHER;MALE;NEUTRAL;None;None;WYVERN;None;wtasight;;;RING97;;;WYVERN1;WYVERN2;;;450;bg2;;;BabyWyvern;false;;;;;Baby Wyvern
OHDFAER;MONSTER;WYVERN;MAGE;WYVERN_FAMILIAR;OHDFAER;;15;NIETHER;MALE;NEUTRAL;OHDFAER;;;;;;;;;IMMCLOUD;S1-2;;;;1450;bg2;;;BabyWyvern;false;;;;;Faerie Dragon
OHDTMFIL;MONSTER;WYVERN;MAGE;WYVERN_FAMILIAR;OHDTMFIL;OHDTMFIL;15;NIETHER;MALE;NEUTRAL;OHDTMFIL;;;;;;;;;IMMCLOUD;S1-2;;;;1450;bg2;;;BabyWyvern;false;;;;;The Magnificent Fil
WYVBAB01;MONSTER;WYVERN;WYVERN;WYVERN;Wyvern;;7;NIETHER;MALE;ENEMY;None;None;WYVERN;None;wtasight;;;RING97;;;WYVERN1;WYVERN2;;;450;bg2;;;BabyWyvern;false;;;;;Baby Wyvern
BDSKGR03;UNDEAD;SKELETON;SKELETON_BANEGUARD;SKELETON_FIEND;;;9;NIETHER;MALE;ENEMY;;BDENSHTV;;;BDNONIN;;;RING95;;;S1-12M2;;;;1000;bg1;;;Baneguard;true;true;;true;;Bladed Skeleton
BDTEAM61;UNDEAD;SKELETON;SKELETON_BANEGUARD;SKELETON_FIEND;BDTEAM61;BDTEAM;9;NIETHER;MALE;NEUTRAL;BDBTEAM6;BDBCOAL;BDSHOUT;BDFIGH01;;;;RING95;;;S1-12M2;;;;1400;bg1;;;Baneguard;true;true;;;;Bladed Skeleton
MS7BGRD;UNDEAD;SKELETON;FIGHTER;SKELETON_FIEND;Ghast;None;8;SUMMONED;MALE;CONTROLLED;None;None;None;;bdsum00;;;RING95;;;B1-10M2;;;;0;stratagems;true;;Baneguard;false;;;;;Boneguard
OHHBONEG;UNDEAD;SKELETON;GOLEM_FLESH;SKELETON_FIEND;dbonef01;None;11;NIETHER;MALE;ENEMY;None;None;None;None;dw2mc2ge;;;IMMUNE2;RING95;REGHP2R;BONEFD;;;;12000;bg2;;;Baneguard;false;;;;;Bone Fiend
OHHTLASS;UNDEAD;SKELETON;GOLEM_FLESH;SKELETON_FIEND;OHHTLASS;;20;NIETHER;MALE;ENEMY;;;;;dw2mc2ge;;;IMMUNE2;RING95;REGHP2R;BONEFD;;;;12000;bg2;;;Baneguard;false;;;;;T'lassus of the Bones
BANSHE01;UNDEAD;WRAITH;NO_CLASS;WAILING_VIRGIN;banshe01;banshe01;7;NIETHER;FEMALE;ENEMY;banshe01;None;None;None;dw2mc2ge;;;;IMMUNE1;IMMCHS;B1-8M2;;;;4000;bg2;;;Banshee;true;true;true;true;;Banshee
BD302BAN;UNDEAD;WRAITH;SPECTRE;WAILING_VIRGIN;BD302BAN;;7;NIETHER;FEMALE;ENEMY;BDBANSH;;;;dw1melge;;;;IMMUNE1;IMMCHS;B1-8M2;;;;4000;bg1;;;Banshee;true;true;true;true;;Banshee
FIRMON01;UNDEAD;WRAITH;NO_CLASS;SIRINE;firmon01;firmon01;7;FEMALE;FEMALE;ENEMY;None;None;None;None;dw2ms2ge;;;IMMUNE1;RING95;;S1-8;;;;4000;bg2;;;Banshee;true;true;;;;Banshee
L#RVBANS;UNDEAD;WRAITH;NO_CLASS;WAILING_VIRGIN;L#RVBAN1;;7;NIETHER;FEMALE;ENEMY;BANSHE01;NONE;NONE;NONE;dw2mc2ge;;;;IMMUNE1;IMMCHS;B1-8M2;;;;4000;BLOODIEDSTINGSOFBAROVIA;;;Banshee;false;;;;;Geist
BATTHO;MONSTER;GOLEM;GOLEM_IRON;FIGHTER_MALE_HUMAN;None;None;6;MALE;MALE;ENEMY;REDDEATH;None;None;None;dw1melmo;HELM13;;RING95;;;FBLADE;;;;4000;bg1;;;BattleHorror;true;true;true;true;;Battle Horror
DW#DAVHO;MONSTER;GOLEM;GOLEM_IRON;FIGHTER_MALE_HUMAN;None;None;6;MALE;MALE;ENEMY;dw#davho;REDDEATH;None;None;dw1melmo;HELM13;;RING95;;;FBLADE;;;;4000;stratagems;;;BattleHorror;true;true;true;true;;Battle Horror
CD51GHO;MONSTER;GOLEM;GOLEM_IRON;FIGHTER_MALE_HUMAN;CD51GHO;CD51GHO;8;MALE;MALE;ENEMY;;NONE;NONE;NONE;dw1melmo;HELM13;SHLD18;RING95;;;SW1H11;;;;2800;thecalling;;;BattleHorror;true;;;;;Kalvranalan
ESXBEA;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;ESXBEA;;3;MALE;MALE;ENEMY;SUMSHT02;NONE;BEAR;HUNTER;dw2mc2mo;;;;;;B1-6;;;;475;EILISTRAEE;;;BlackBear;true;true;true;true;;Bear
BDBEARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;BDBEARBL;;3;MALE;MALE;NEUTRAL;;BEAR;;;dw1melmo;;;;;;B1-6;;;;120;bg1;;;BlackBear;true;true;true;true;;Black Bear
BEARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;bearbl;;3;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw1melmo;;;;;;B1-6;;;;175;bg1;;;BlackBear;true;true;true;true;bg1;Black Bear
BEARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;NEUTRAL;SUMSHT02;None;BEAR;HUNTER;dw2mc2mo;;;;;;B1-6;;;;175;bg2;;;BlackBear;true;true;true;true;bg2;Black Bear
BEARBL01;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;NEUTRAL;None;None;BEAR;hunter;dw2mc2mo;;;;;;B1-6;;;;175;bg2;;;BlackBear;true;true;true;true;;Black Bear
BEARBLSU;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;SUMMONED;SUMMONED;CONTROLLED;BEAR;None;BDSUM00;None;;;;;;;B1-6;;;;0;bg1;true;;BlackBear;true;true;true;true;bg1;Black Bear
BEARBLSU;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;SUMMONED;MALE;CONTROLLED;SUMSHT02;None;;None;BDSUM00;;;;;;B1-6;;;;0;bg2;true;;BlackBear;true;true;true;true;bg2;Black Bear
D9EARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;EXTRA;MALE;ENEMY;d9dwctyz;None;BEAR;hunter;dw2mc2mo;;;;;;B1-6;;;;175;butchery;;;BlackBear;true;true;true;true;;Black Bear
GLBEAR2;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;ENEMY;SUMSHT02;None;BEAR;None;dw2mc2mo;;;;;;B1-6;;;;200;bg2;;;BlackBear;true;true;true;true;;Black Bear
NBEARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw2mc2mo;;;;;;B1-6;;;;175;bg2;;;BlackBear;true;true;true;true;;Black Bear
PLYBEAR2;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;bearbl;;3;MALE;MALE;NEUTRAL;;;;;;;;;;;B1-6;;;;175;stratagems;;;BlackBear;true;true;true;true;bg1;Black Bear
PLYBEAR2;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;NEUTRAL;;;;;;;;;;;B1-6;;;;175;stratagems;;;BlackBear;true;true;true;true;bg2;Black Bear
RSBEARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw1melmo;;;;;;B1-6;;;;175;bg1;;;BlackBear;true;true;true;true;;Black Bear
UBDBEAR;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;UBDBEAR;;3;MALE;MALE;NEUTRAL;None;None;BEAR;None;WDASIGHT;;;;;;B1-6;;;;0;bg1ub;;;BlackBear;true;true;true;true;;Black Bear
VBEARBL;ANIMAL;BEAR;BEAR_BLACK;BEAR_BLACK;None;;3;MALE;MALE;ENEMY;None;None;BEAR;hunter;dw2mc2mo;;;;;;B1-6;;;;175;bg2;;;BlackBear;true;true;true;true;;Black Bear
BDPUDDBL;MONSTER;SLIME;GREY_OOZE;BLACK_PUDDING;BDPUDDBL;;10;NIETHER;MALE;ENEMY;;;BDPUDDBL;;dw1ranmo;HELMNOAN;;RING95;;;BDPUDDBL;;;;1400;bg1;;;BlackPudding;true;true;true;true;;Black Pudding
DOGBLINK;ANIMAL;DOG;DOG_WILD;DOG_WILD;None;;1;MALE;MALE;ENEMY;PSPIDER;None;None;None;dw1melmo;;;;;;P1-6;;;;270;bg1;;;BlinkDog;true;true;true;true;;Blink Dog
BDBONBAT;UNDEAD;SKELETON;NO_CLASS;BONEBAT;;;5;MALE;MALE;ENEMY;;BDENSHTV;;;BDNONIN;;;RING95;;;BDBONBAT;;;;975;bg1;;;Bonebat;true;true;true;true;;Bonebat
ICBONE01;GIANTHUMANOID;GOLEM;SKELETON_BANEGUARD;SKELETON_FIEND;icbone01;;14;NIETHER;MALE;ENEMY;GENSHT01;None;None;None;dw2ms2ge;;;IMMUNE1;GOLCLA;;S3-8M3;;;;18000;bg2;;;BoneGolem;true;true;true;;;Bone Golem
NTGOLBON;GIANTHUMANOID;GOLEM;GOLEM_STONE;SKELETON_FIEND;ICBONE01;;14;NIETHER;MALE;ENEMY;GENSHT01;NONE;NONE;NONE;dw1melmo;HELMNOAN;;IMMUNE2;GOLCLA;;S3-8M3;;;;12000;NTOTSC;;;BoneGolem;true;true;true;true;;Bone Golem
OHBGOLB1;GIANTHUMANOID;GOLEM;SKELETON_BANEGUARD;SKELETON_FIEND;OHBGOLB1;;25;NIETHER;MALE;ENEMY;;OHB_T303;;;OHBNONIN;;;IMMUNE1;;;S3-8M3;;;;0;bg2;;;BoneGolem;true;true;true;true;;Greater Bone Golem
GOLBRA01;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_BRAIN;None;;12;NIETHER;MALE;ENEMY;GENSHT01;None;None;golbra01;;;;IMMUNE2;;;GOLBRA;;;;10000;bg2;;;BrainGolem;;;;;;Brain Golem
O#LLGOL1;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;O#LLGOL1;O#LLGOL1;12;NIETHER;MALE;ENEMY;O#LLEnem;;;;;;;IMMUNE2;;;GOLBRA;;;;10000;SELLSWORDS;;;BrainGolem;;;;;;Brain Golem
O#LLGOL2;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;O#LLGOL2;O#LLGOL2;12;NIETHER;MALE;ENEMY;O#LLEnem;;;;;;;IMMUNE2;;;GOLBRA;;;;10000;SELLSWORDS;;;BrainGolem;;;;;;Brain Golem
O#LLGOL3;GIANTHUMANOID;GOLEM;GOLEM_CLAY;GOLEM_CLAY;O#LLGOL3;O#LLGOL3;12;NIETHER;MALE;ENEMY;O#LLEnem;;;;;;;IMMUNE2;;;GOLBRA;;;;10000;SELLSWORDS;;;BrainGolem;;;;;;Brain Golem
UDGOLEM;GIANTHUMANOID;GOLEM;GOLEM_CLAY;A7!GOLEM_BRAIN;udgolem;;12;NIETHER;MALE;ENEMY;GENSHT01;None;None;golbra01;;;;IMMUNE2;;;GOLBRA;;;;10000;bg2;;;BrainGolem;;;;;;Brain Golem
BDBEARBN;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;BDBEARBR;;6;MALE;MALE;NEUTRAL;;BEAR;BDENRAGE;;dw1melmo;;;;;;S1-8;;;;270;bg1;;;BrownBear;true;true;true;true;;Brown Bear
BEARBR;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;bearbr;;5;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw1melmo;;;;;;B1-8;;;;420;bg1;;;BrownBear;true;true;true;true;bg1;Brown Bear
BEARBR;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;BEARBR;;5;MALE;MALE;NEUTRAL;SUMSHT02;None;BEAR;hunter;dw2mc2mo;;;;;;B1-8;;;;420;bg2;;;BrownBear;true;true;true;true;bg2;Brown Bear
BEARBR01;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;MALE;MALE;NEUTRAL;None;None;BEAR;hunter;dw2mc2mo;;;;;;BEARBR;;;;420;bg2;;;BrownBear;true;true;true;true;;Brown Bear
BEARBRSU;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;SUMMONED;SUMMONED;CONTROLLED;BEAR;None;BDSUM00;None;;;;;;;B1-8;;;;0;bg1;true;;BrownBear;true;true;true;true;bg1;Brown Bear
BEARBRSU;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;SUMMONED;MALE;CONTROLLED;SUMSHT02;None;;None;BDSUM00;;;;;;B1-8M1;;;;0;bg2;true;;BrownBear;true;true;true;true;bg2;Brown Bear
D9VBEA9;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;EXTRA2;MALE;ENEMY;d9dwctyz;None;BEAR;hunter;dw2mc2mo;;;;;;B1-8;;;;420;butchery;;;BrownBear;true;true;true;true;;Brown Bear
D9VBEAE;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;EXTRA2;MALE;ENEMY;d9dwctyz;None;BEAR;hunter;dw2mc2mo;;;;;;B1-8;;;;420;butchery;;;BrownBear;true;true;true;true;;Brown Bear
D9VBEAR;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;EXTRA;MALE;ENEMY;d9dwctyz;None;BEAR;hunter;dw2mc2mo;;;;;;B1-8;;;;420;butchery;;;BrownBear;true;true;true;true;;Brown Bear
D9VBEAT;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;EXTRA;MALE;ENEMY;d9dwctyz;None;BEAR;hunter;dw2mc2mo;;;;;;B1-8;;;;420;butchery;;;BrownBear;true;true;true;true;;Brown Bear
NBEARBR;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw2mc2mo;;;;;;B1-8;;;;420;bg2;;;BrownBear;true;true;true;true;;Brown Bear
PLYBEAR1;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;bearbr;;5;MALE;MALE;NEUTRAL;;;;;;;;;;;B1-8;;;;420;stratagems;;;BrownBear;true;true;true;true;;Brown Bear
VBEARBR;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;None;;5;MALE;MALE;ENEMY;SUMSHT02;None;BEAR;hunter;dw2mc2mo;;;;;;B1-8;;;;420;bg2;;;BrownBear;true;true;true;true;;Brown Bear
BDBEARBR;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;BDBEARBR;;6;MALE;MALE;ENEMY;;BDENSHTV;;;BDNONIN;;;;;;S1-8;;;;420;bg1;;;BrownBear;true;true;true;true;;Grizzly Bear
CB595BRB;ANIMAL;BEAR;BEAR_BROWN;BEAR_BROWN;CB595brb;;5;MALE;MALE;ENEMY;;CB595RAN;;HUNTER;;;;;;;B1-8;;;;420;ctb;;;BrownBear;true;true;true;true;;Rabid Bear
0XREDDG;GIANTHUMANOID;GOLEM;ELEMENTAL_FIRE;BURNING_MAN;0XREDDG;0XREDDG;16;NIETHER;MALE;ENEMY;0X1DG;;;;GOLBUR01;;;IMMUNE2;;;GOLBUR01;;;;10000;TOTDG;;;BurningMan;;;;;;Wrathful Red
GOLBUR01;GIANTHUMANOID;GOLEM;ELEMENTAL_FIRE;BURNING_MAN;None;;16;NIETHER;MALE;ENEMY;golbur01;None;None;None;None;;;IMMUNE2;;;GOLBUR01;;;;12000;bg2;;;BurningMan;false;;;;;Burning Man
BDCCRAW1;MONSTER;CARRIONCRAWLER;CARRIONCRAWLER;CARRION_CRAWLER;BDCCRAW1;;3;NIETHER;MALE;ENEMY;;BDENSHTV;;;BDCCRAWL;;;;;;BDCCRAW1;;;;420;bg1;;;CarrionCrawler;true;true;true;true;;Carrion Crawler
BPCRCW01;MONSTER;CARRIONCRAWLER;CARRIONCRAWLER;CARRION_CRAWLER;BPCRCW01;;3;NIETHER;MALE;ENEMY;BPSIGHT;CCRAWLER;None;None;;;;;;;CARRIO1;;;;0;bg1;;;CarrionCrawler;true;true;true;true;;Carrion Crawler
CARCRA01;MONSTER;CARRIONCRAWLER;CARRIONCRAWLER;CARRION_CRAWLER;None;;3;NIETHER;MALE;ENEMY;None;CCRAWLER;None;None;none;;;;;;CARRIO1;;;;420;bg2;;;CarrionCrawler;true;true;true;true;;Carrion Crawler
